Run,Livetime
16545,1765.6
16547,10776.0
16548,10775.5
16551,9984.1
16552,10771.5
16557,10775.7
16558,10775.1
16560,5906.4
16563,9691.7
16564,10734.5
16565,9000.6
16586,3703.5
16587,2637.3
16593,5391.7
16594,10718.9
16597,10761.9
16599,10446.4
16602,10154.8
16607,8030.1
16608,10755.5
16609,10749.4
16611,10708.7
16614,10729.5
16616,10755.3
16619,10640.1
16620,10733.8
16621,9007.7
16626,10748.7
16627,10758.4
16628,10743.9
16630,10460.3
16631,10699.3
16632,10718.9
16633,10685.7
16635,10757.5
16639,10751.9
16641,9861.3
16642,10759.9
16643,10760.1
16644,10759.6
16645,10756.8
16649,6241.3
16652,10707.0
16653,10018.4
16654,10665.3
16655,10758.0
16663,10738.7
16666,10759.3
16667,10761.5
16686,3982.7
16689,5344.9
16694,10730.9
16696,10752.8
16700,8746.1
16711,9227.6
16712,10756.9
16715,9956.7
16717,10756.1
16718,10756.1
16720,10725.7
16724,10757.3
16725,10748.9
16726,10757.5
16727,10755.5
16730,10683.5
16731,10750.3
16737,7158.6
16738,10761.5
16739,10739.7
16740,10572.2
16747,10760.0
16748,10737.3
16749,10733.5
16750,9949.4
16751,10705.2
16753,5465.9
16755,4556.0
16756,10724.5
16758,10738.8
16759,10736.5
16760,10107.0
16788,10710.3
16805,9095.1
16811,4416.1
16815,8808.2
16818,10711.0
16819,10756.3
16820,10761.5
16821,10743.3
16822,10746.5
16823,10757.8
16824,10750.1
16825,10755.5
16826,10736.9
16858,10686.1
16859,10764.9
16860,10762.4
16861,10764.6
16863,10754.4
16864,10762.8
16865,10762.0
16866,10756.8
16867,10760.6
16868,10720.9
16869,8722.4
16871,10760.6
16873,10761.1
16874,10762.0
16875,10762.7
16876,10766.6
16877,10756.2
16878,10750.8
16879,10756.9
16880,10755.0
16881,10757.1
16882,10752.9
16883,10758.6
16884,10760.6
16885,10759.2
16886,10754.6
16887,10273.8
16888,10704.4
16891,10759.2
16892,10758.8
16893,10748.8
16894,10759.4
16895,10735.4
16896,10744.4
16897,10734.5
16898,10742.8
16899,10735.6
16900,10740.4
16901,10745.0
16902,10745.0
16903,10740.7
16904,10722.3
16905,10742.4
16906,10718.4
16907,10741.7
16908,10480.1
16909,10747.7
16910,10738.5
16911,10735.1
16945,10153.3
16946,10748.7
16947,10756.6
16948,10760.9
16949,10752.6
16950,10665.4
16951,10264.5
16952,10450.5
16953,10755.9
16954,10751.8
16955,10763.4
16956,4987.0
16957,10747.2
16958,10720.7
16960,10684.2
16962,9409.1
16964,5682.6
16965,10753.5
16966,10754.2
16967,7095.4
16968,9839.4
16969,10758.8
16970,10762.6
16971,10762.3
16972,10762.0
16973,10761.5
16974,10765.2
16975,10751.6
16976,10760.2
16977,10753.1
16981,10753.9
16982,10754.8
16983,10757.2
16984,10756.7
16985,10757.5
16986,10749.6
16987,10758.9
16988,10755.3
16989,10751.7
16990,10756.6
16991,10753.9
16992,10759.1
16993,10757.7
16994,10753.4
16995,10751.7
16996,10758.5
16997,10729.4
16998,10746.5
17018,3531.2
17019,10743.0
17020,10742.4
17021,8327.3
17022,10759.6
17023,10757.7
17024,10755.0
17025,10753.5
17026,10756.0
17027,10757.2
17028,10748.4
17029,10760.7
17030,10760.6
17031,10749.0
17032,10746.6
17033,10754.2
17034,10759.2
17035,10759.4
17036,10760.3
17037,10760.2
17038,10757.2
17039,10756.0
17040,5528.6
17048,10684.2
17049,10694.9
17050,10679.4
17051,10695.4
17052,10683.9
17053,10711.7
17054,10690.6
17055,10448.6
17056,10743.7
17057,10738.0
17058,10737.6
17059,10743.0
17060,10730.5
17061,10679.0
17062,10701.2
17163,10721.6
17164,10722.9
17165,10765.3
17166,10767.4
17178,5948.7
17179,10751.4
17180,10716.9
17182,10717.5
17183,10739.7
17189,9172.6
17190,10746.8
17195,2682.1
17197,10351.8
17198,10761.9
17199,10759.8
17209,9228.9
17210,10769.8
17211,10715.4
17212,10714.0
